Country,Region,Happiness Score 21,Freedom To Make Life Choices,Happiness Score 22,Happiness Rating Avg 21-22,Year,Catholic,Christianity,Judaism,Islam,Buddhism,Zoroastrianism,Hinduism,Population
Burkina Faso,Sub-Saharan Africa,4.834,0.695,4.67,4.752,2010.0,3740152.0,4574351.0,0.0,9023117.0,0.0,0.0,0.0,15583968.0
Burundi,,,,,,2010.0,5277432.0,7641386.0,0.0,214879.0,0.0,0.0,7220.0,8595166.0
Cambodia,Southeast Asia,4.83,0.959,4.64,4.734999999999999,2010.0,8202.0,57199.0,0.0,293716.0,14801990.0,0.0,0.0,15308156.0
Cameroon,Sub-Saharan Africa,5.142,0.731,5.048,5.095000000000001,2010.0,5183892.0,9868484.0,0.0,4265362.0,359.0,0.0,0.0,19929964.0
Canada,North America and ANZ,7.103,0.915,7.025,7.064,2010.0,14497030.0,26431104.0,340304.0,670000.0,670000.0,6130.0,275000.0,34500000.0
Cape Verde,,,,,,2010.0,422000.0,450220.0,0.0,15200.0,0.0,0.0,0.0,475000.0
Central African Republic,,,,,,2010.0,1052741.0,2215305.0,0.0,675397.0,0.0,0.0,0.0,4502654.0
Chad,Sub-Saharan Africa,4.355,0.579,4.251,4.303000000000001,2010.0,1682398.0,3909470.0,0.0,6347232.0,1771.0,0.0,0.0,11499083.0
Chile,Latin America and Caribbean,6.172,0.742,6.172,6.172,2010.0,12954191.0,15587652.0,20664.0,4500.0,2700.0,0.0,0.0,17077416.0
China,East Asia,5.339,0.904,5.585,5.462,2010.0,10761394.0,78030424.0,2579.0,33629356.0,169491958.0,0.0,18572.0,1345174272.0
Colombia,Latin America and Caribbean,6.012,0.837,5.781,5.8965,2010.0,37961900.0,44910647.0,8095.0,27740.0,1619.0,0.0,8095.0,46295000.0
Comoros,Sub-Saharan Africa,4.289,0.548,4.609,4.449,2010.0,850.0,850.0,0.0,666746.0,0.0,0.0,0.0,679961.0
Congo,,,,,,2010.0,1947994.0,3228666.0,0.0,77400.0,172.0,0.0,0.0,4004306.0
Costa Rica,Latin America and Caribbean,7.069,0.934,6.582,6.8255,2010.0,3471000.0,3925741.0,3800.0,0.0,1200.0,0.0,558.0,4450000.0
Croatia,Central and Eastern Europe,5.882,0.754,6.125,6.0035,2010.0,3817311.0,4042145.0,553.0,65023.0,0.0,0.0,0.0,4424161.0
Cuba,,,,,,2010.0,6744696.0,7407107.0,1500.0,8000.0,0.0,0.0,25000.0,11241161.0
Cyprus,Western Europe,6.223,0.763,6.221,6.2219999999999995,2010.0,14481.0,606674.0,147.0,164999.0,0.0,0.0,0.0,813958.0
Czech Republic,,,,,,2010.0,2077857.0,2252712.0,7322.0,1338.0,0.0,0.0,0.0,10535111.0
Democratic Republic of the Congo,,,,,,2010.0,33932580.0,63127199.0,407.0,882247.0,3841.0,0.0,95000.0,67865160.0
Denmark,Western Europe,7.62,0.946,7.636,7.628,2010.0,37964.0,4527237.0,2153.0,222000.0,4487.0,0.0,206.0,5539634.0
Djibouti,,,,,,2010.0,6100.0,12256.0,0.0,860869.0,0.0,0.0,352.0,882943.0
Dominica,,,,,,2010.0,56210.0,67160.0,0.0,0.0,0.0,0.0,0.0,73000.0
Dominican Republic,Latin America and Caribbean,5.545,0.86,5.737,5.641,2010.0,7168786.0,8662283.0,100.0,0.0,0.0,0.0,0.0,9956648.0
East Timor,,,,,,2010.0,1088306.0,1105222.0,0.0,7894.0,1127.0,0.0,0.0,1127779.0
Ecuador,Latin America and Caribbean,5.764,0.842,5.533,5.6485,2010.0,12361961.0,12830327.0,1000.0,1500.0,7460.0,0.0,0.0,14209151.0
Egypt,Middle East and North Africa,4.283,0.749,4.288,4.285500000000001,2010.0,98000.0,9851306.0,0.0,70248701.0,0.0,0.0,0.0,81277560.0
El Salvador,Latin America and Caribbean,6.061,0.888,6.12,6.0905000000000005,2010.0,4219188.0,6209779.0,648.0,2027.0,0.0,0.0,0.0,7212288.0
Equatorial Guinea,,,,,,2010.0,588000.0,622914.0,0.0,27500.0,0.0,0.0,349.0,698295.0
Eritrea,,,,,,2010.0,209378.0,3009808.0,0.0,2100000.0,0.0,0.0,1047.0,5234450.0
Estonia,Central and Eastern Europe,6.189,0.909,6.341,6.265000000000001,2010.0,5510.0,380141.0,1700.0,2000.0,1401.0,0.0,361.0,1339974.0
Ethiopia,Sub-Saharan Africa,4.275,0.752,4.241,4.258,2010.0,578379.0,50654152.0,4500.0,28332765.0,0.0,0.0,6130.0,82278800.0
Federated States of Micronesia,,,,,,2010.0,57500.0,96000.0,0.0,0.0,650.0,0.0,0.0,110971.0
Fiji,,,,,,2010.0,105000.0,549963.0,0.0,51559.0,0.0,0.0,240609.0,859318.0
Finland,Western Europe,7.842,0.949,7.821,7.8315,2010.0,0.0,4258941.0,1277.0,24245.0,4988.0,0.0,0.0,5363908.0
France,Western Europe,6.69,0.822,6.687,6.6885,2010.0,40456051.0,44023361.0,480000.0,4950000.0,650755.0,0.0,51000.0,62722560.0
Gabon,Sub-Saharan Africa,4.852,0.731,4.958,4.905,2010.0,631887.0,1047752.0,0.0,210332.0,0.0,0.0,0.0,1402214.0
Gambia,Sub-Saharan Africa,5.051,0.697,5.164,5.1075,2010.0,56240.0,74920.0,0.0,1548362.0,0.0,0.0,279.0,1720403.0
Georgia,Commonwealth of Independent States,4.891,0.783,4.973,4.932,2010.0,31977.0,3553010.0,12000.0,440787.0,0.0,0.0,0.0,4452394.0
Germany,Western Europe,7.155,0.875,7.034,7.0945,2010.0,25700000.0,57827992.0,119000.0,4000000.0,245000.0,0.0,97500.0,81698976.0
Ghana,Sub-Saharan Africa,5.088,0.807,4.872,4.98,2010.0,3143640.0,16879326.0,0.0,4223515.0,0.0,0.0,0.0,23997252.0
Greece,Western Europe,5.723,0.582,5.948,5.8355,2010.0,50969.0,10682948.0,5648.0,272000.0,0.0,0.0,0.0,11319288.0
Grenada,,,,,,2010.0,54209.0,94323.0,0.0,526.0,0.0,0.0,263.0,108419.0
Guatemala,Latin America and Caribbean,6.435,0.906,6.262,6.3485,2010.0,7603454.0,13133239.0,2000.0,2000.0,0.0,0.0,0.0,13824463.0
Guinea,Sub-Saharan Africa,4.984,0.697,4.891,4.9375,2010.0,414648.0,819087.0,0.0,8702832.0,9000.0,0.0,0.0,10238627.0
Guinea-Bissau,,,,,,2010.0,126500.0,160848.0,0.0,589777.0,0.0,0.0,0.0,1477784.0
Guyana,,,,,,2010.0,61400.0,427919.0,29.0,57562.0,0.0,0.0,226412.0,767501.0
Haiti,,,,,,2010.0,7027799.0,8003882.0,120.0,1750.0,0.0,0.0,0.0,9760832.0
Honduras,Latin America and Caribbean,5.919,0.857,6.022,5.9704999999999995,2010.0,4561162.0,7121814.0,397.0,397.0,0.0,0.0,0.0,8002039.0
Hong Kong S.A.R. of China,East Asia,5.477,0.717,5.425,5.4510000000000005,,,,,,,,,
Hungary,Central and Eastern Europe,5.992,0.755,6.086,6.039,2010.0,4677371.0,6669095.0,10965.0,4500.0,0.0,0.0,0.0,9900000.0
Iceland,Western Europe,7.554,0.955,7.557,7.5555,2010.0,9647.0,290063.0,0.0,1589.0,1087.0,0.0,0.0,316821.0
India,South Asia,3.819,0.893,3.777,3.798,2010.0,8926840.0,27973830.0,5000.0,160130000.0,9241589.0,83642.0,961401054.0,1195000000.0
Indonesia,Southeast Asia,5.345,0.873,5.24,5.2925,2010.0,7198800.0,25444526.0,0.0,201550000.0,1919680.0,0.0,3599400.0,239960000.0
Iran,Middle East and North Africa,4.721,0.608,4.888,4.8045,2010.0,0.0,117000.0,8700.0,73332824.0,0.0,0.0,0.0,74073560.0
Iraq,Middle East and North Africa,4.854,0.63,4.941,4.8975,2010.0,265000.0,600000.0,0.0,30210000.0,0.0,0.0,0.0,31800000.0
Ireland,Western Europe,7.085,0.879,7.041,7.063000000000001,2010.0,3861335.0,4150307.0,1984.0,25700.0,781.0,0.0,0.0,4462987.0
Israel,Middle East and North Africa,7.157,0.8,7.364,7.2605,2010.0,101600.0,152400.0,5573299.0,1524000.0,0.0,0.0,0.0,7624494.0
Italy,Western Europe,6.483,0.693,6.467,6.475,2010.0,47858795.0,48018881.0,39000.0,700000.0,8831.0,0.0,7923.0,60483224.0
Ivory Coast,Sub-Saharan Africa,5.306,0.741,5.235,5.2705,2010.0,5930196.0,8029336.0,0.0,8029337.0,10706.0,0.0,1713.0,21411568.0
Jamaica,Latin America and Caribbean,6.309,0.89,5.85,6.0794999999999995,2010.0,58000.0,1974000.0,531.0,1513.0,322.0,0.0,15961.0,2868630.0
Japan,East Asia,5.94,0.796,6.039,5.9895,2010.0,1072810.0,2499998.0,1000.0,195001.0,88035713.0,0.0,23500.0,127451704.0
Jordan,Middle East and North Africa,4.395,0.755,4.152,4.2735,2010.0,30560.0,183363.0,0.0,5928782.0,0.0,0.0,0.0,6112148.0
Kazakhstan,Commonwealth of Independent States,6.152,0.853,6.234,6.193,2010.0,0.0,4731595.0,3300.0,9678983.0,0.0,0.0,0.0,16315848.0
Kenya,Sub-Saharan Africa,4.607,0.779,4.543,4.575,2010.0,11250000.0,32402646.0,1300.0,4198090.0,1266.0,804.0,175000.0,40187108.0
Kiribati,,,,,,2010.0,56650.0,98880.0,0.0,0.0,13.0,0.0,0.0,103000.0
Kosovo,Central and Eastern Europe,6.372,0.869,6.455,6.4135,2010.0,38306.0,64054.0,0.0,1657720.0,0.0,0.0,0.0,1733872.0
Kuwait,Middle East and North Africa,6.106,0.867,6.106,6.106,2010.0,0.0,0.0,0.0,2478497.0,0.0,0.0,107823.0,2695568.0
Kyrgyzstan,Commonwealth of Independent States,5.744,0.935,5.828,5.786,2010.0,0.0,540229.0,500.0,4132536.0,0.0,0.0,0.0,5365372.0
Laos,Southeast Asia,5.03,0.91,5.14,5.085,2010.0,27549.0,92112.0,0.0,61408.0,4159404.0,0.0,0.0,6140902.0
Latvia,Central and Eastern Europe,6.032,0.715,6.18,6.106,2010.0,541646.0,1772369.0,6000.0,320.0,167.0,0.0,205.0,2242818.0
Lebanon,Middle East and North Africa,4.584,0.525,2.955,3.7695,2010.0,857010.0,1660967.0,0.0,2203740.0,75000.0,0.0,0.0,4081000.0
Lesotho,Sub-Saharan Africa,3.512,0.715,3.512,3.512,2010.0,1220514.0,1972951.0,0.0,1600.0,0.0,0.0,1213.0,2094896.0
Liberia,Sub-Saharan Africa,4.625,0.735,5.122,4.8735,2010.0,397491.0,3542240.0,0.0,468918.0,0.0,0.0,0.0,4167344.0
Libya,Middle East and North Africa,5.41,0.771,5.33,5.37,2010.0,65091.0,195273.0,0.0,6310833.0,0.0,0.0,0.0,6509106.0
Liechtenstein,,,,,,2010.0,27450.0,31031.0,40.0,1960.0,148.0,0.0,0.0,35760.0
Lithuania,Central and Eastern Europe,6.255,0.773,6.446,6.3505,2010.0,2564874.0,2755107.0,6000.0,2727.0,0.0,0.0,0.0,3321032.0
Luxembourg,Western Europe,7.324,0.907,7.404,7.364,2010.0,445137.0,460637.0,600.0,10139.0,0.0,0.0,0.0,505838.0
Macedonia,,,,,,2010.0,39363.0,1310808.0,0.0,703363.0,0.0,0.0,0.0,2056617.0
Madagascar,Sub-Saharan Africa,4.208,0.552,4.339,4.2735,2010.0,5490037.0,12031782.0,308.0,1123633.0,5135.0,0.0,11912.0,20538780.0
Malawi,Sub-Saharan Africa,3.6,0.78,3.75,3.675,2010.0,3619442.0,10452600.0,278.0,2110934.0,0.0,0.0,32970.0,14460699.0
Malaysia,Southeast Asia,5.384,0.895,5.711,5.5475,2010.0,858334.0,2338758.0,0.0,17263000.0,5433600.0,0.0,1698000.0,28300000.0
Maldives,,,,,,2010.0,887.0,1441.0,0.0,311056.0,1331.0,0.0,0.0,317405.0
Mali,Sub-Saharan Africa,4.723,0.697,4.479,4.601,2010.0,314259.0,407068.0,0.0,12754822.0,0.0,0.0,0.0,13568961.0
Malta,Western Europe,6.602,0.927,6.447,6.5245,2010.0,396394.0,401633.0,60.0,4122.0,0.0,0.0,0.0,412911.0
Marshall Islands,,,,,,2010.0,4910.0,50971.0,0.0,0.0,0.0,0.0,0.0,54566.0
Mauritania,Sub-Saharan Africa,4.227,0.561,4.153,4.1899999999999995,2010.0,4802.0,8718.0,0.0,3212166.0,0.0,0.0,0.0,3311512.0
Mauritius,Sub-Saharan Africa,6.049,0.867,6.071,6.0600000000000005,2010.0,336666.0,416484.0,0.0,221778.0,2251.0,0.0,622238.0,1280511.0
Mexico,Latin America and Caribbean,6.317,0.862,6.128,6.2225,2010.0,92924489.0,108811290.0,67476.0,3760.0,0.0,0.0,0.0,112336538.0
Moldova,Commonwealth of Independent States,5.766,0.822,5.857,5.8115000000000006,2010.0,95500.0,2925500.0,3900.0,128238.0,0.0,0.0,0.0,3562158.0
Monaco,,,,,,2010.0,24789.0,26550.0,500.0,264.0,0.0,0.0,0.0,33105.0
Mongolia,East Asia,5.677,0.708,5.761,5.718999999999999,2010.0,654.0,53170.0,0.0,82380.0,1455388.0,0.0,0.0,2746016.0
Montenegro,Central and Eastern Europe,5.581,0.708,5.547,5.564,2010.0,21624.0,478002.0,0.0,120289.0,119.0,0.0,0.0,629517.0
Morocco,Middle East and North Africa,4.918,0.774,5.06,4.989,2010.0,0.0,317760.0,6000.0,31430015.0,0.0,0.0,0.0,31776052.0
Mozambique,Sub-Saharan Africa,4.794,0.882,5.048,4.920999999999999,2010.0,5315750.0,10340024.0,218.0,5320442.0,1900.0,0.0,35165.0,21841850.0
Myanmar,Southeast Asia,4.426,0.876,4.394,4.41,2010.0,805000.0,4565000.0,25.0,2450000.0,43983776.0,853.0,58808.0,58807968.0
Namibia,Sub-Saharan Africa,4.574,0.719,4.459,4.5165,2010.0,621785.0,1865944.0,2466.0,10200.0,0.0,0.0,3500.0,2144764.0
Nauru,,,,,,2010.0,3179.0,9638.0,0.0,0.0,0.0,0.0,0.0,9937.0
Nepal,South Asia,5.269,0.782,5.377,5.323,2010.0,3349.0,375697.0,0.0,1162370.0,2396099.0,0.0,21551492.0,26494504.0
Netherlands,Western Europe,7.464,0.913,7.415,7.439500000000001,2010.0,4485380.0,9626041.0,25700.0,963526.0,201012.0,299.0,107151.0,16612522.0
New Zealand,North America and ANZ,7.277,0.929,7.2,7.2385,2010.0,673936.0,2361557.0,4696.0,48943.0,91846.0,0.0,86698.0,4367490.0
Nicaragua,Latin America and Caribbean,5.972,0.836,6.165,6.0685,2010.0,3798734.0,5242544.0,0.0,1602.0,0.0,0.0,0.0,5821815.0
Niger,Sub-Saharan Africa,5.074,0.806,5.003,5.0385,2010.0,231233.0,584548.0,0.0,13714412.0,0.0,0.0,0.0,14988429.0
Nigeria,Sub-Saharan Africa,4.759,0.737,4.552,4.6555,2010.0,16911362.0,64726375.0,100.0,78284656.0,8229.0,0.0,0.0,154110416.0
North Cyprus,Western Europe,5.536,0.795,5.467,5.5015,,,,,,,,,
North Korea,,,,,,2010.0,40591.0,405910.0,0.0,0.0,1116257.0,0.0,0.0,24394288.0
North Macedonia,Central and Eastern Europe,5.101,0.751,5.199,5.15,,,,,,,,,
Norway,Western Europe,7.392,0.96,7.365,7.378500000000001,2010.0,67342.0,4103723.0,823.0,99500.0,13450.0,0.0,5203.0,4885082.0
Oman,,,,,,2010.0,49399.0,99499.0,0.0,2678195.0,8900.0,0.0,78000.0,2979954.0
Pakistan,South Asia,4.934,0.726,4.516,4.725,2010.0,772343.0,2863590.0,0.0,161189415.0,96880.0,5382.0,3705824.0,168446576.0
Palau,,,,,,2010.0,12891.0,18391.0,0.0,470.0,182.0,0.0,27.0,21370.0
Palestinian Territories,Middle East and North Africa,4.517,0.653,4.483,4.5,,,,,,,,,
Panama,Latin America and Caribbean,6.18,0.872,6.309,6.2445,2010.0,3361450.0,4166894.0,6590.0,13181.0,16233.0,0.0,593.0,4255000.0
Papua New Guinea,,,,,,2010.0,1859459.0,6611410.0,813.0,1832.0,2865.0,0.0,0.0,6886887.0
Paraguay,Latin America and Caribbean,5.653,0.876,5.578,5.6155,2010.0,5680657.0,6138983.0,3208.0,3873.0,14783.0,0.0,0.0,6455292.0
Peru,Latin America and Caribbean,5.84,0.822,5.559,5.6995000000000005,2010.0,23904351.0,27579681.0,3000.0,6000.0,10200.0,0.0,0.0,29402646.0
Philippines,Southeast Asia,5.88,0.917,5.904,5.8919999999999995,2010.0,76469863.0,84493445.0,300.0,5113771.0,105000.0,0.0,0.0,92097978.0
Poland,Central and Eastern Europe,6.166,0.841,6.123,6.144500000000001,2010.0,33507000.0,34539629.0,1600.0,5100.0,1500.0,0.0,0.0,38182920.0
Portugal,Western Europe,5.929,0.892,6.016,5.9725,2010.0,8780066.0,9123319.0,3192.0,90987.0,59598.0,0.0,6386.0,10642505.0
Qatar,,,,,,2010.0,200000.0,245603.0,0.0,798733.0,36603.0,0.0,450000.0,1699435.0
Romania,Central and Eastern Europe,6.14,0.845,6.477,6.3085,2010.0,978310.0,20899522.0,9500.0,85000.0,0.0,0.0,0.0,21433182.0
Russia,Commonwealth of Independent States,5.477,0.718,5.459,5.468,2010.0,1100798.0,105697556.0,194000.0,16482000.0,0.0,0.0,0.0,142400000.0
Rwanda,Sub-Saharan Africa,3.415,0.897,3.268,3.3415,2010.0,5844606.0,9252868.0,0.0,475843.0,0.0,0.0,517.0,10344436.0
Samoa,,,,,,2010.0,35883.0,180140.0,0.0,61.0,19.0,0.0,0.0,188861.0
San Marino,,,,,,2010.0,27038.0,28088.0,0.0,6.0,0.0,0.0,0.0,32544.0
Sao Tome and Principe,,,,,,2010.0,135219.0,153810.0,0.0,2443.0,0.0,0.0,0.0,162915.0
Saudi Arabia,Middle East and North Africa,6.494,0.877,6.523,6.5085,2010.0,782723.0,782723.0,0.0,24477606.0,0.0,0.0,260907.0,26090784.0
Senegal,Sub-Saharan Africa,5.132,0.695,5.046,5.089,2010.0,400067.0,421345.0,0.0,11346069.0,1631.0,0.0,0.0,12084098.0
Serbia,Central and Eastern Europe,6.078,0.778,6.178,6.128,,,,,,,,,
Seychelles,,,,,,2010.0,69297.0,81121.0,0.0,1459.0,331.0,17.0,2174.0,86617.0
Sierra Leone,Sub-Saharan Africa,3.849,0.717,3.574,3.7115,2010.0,441898.0,1169246.0,0.0,3396544.0,0.0,0.0,3000.0,6139274.0
Singapore,Southeast Asia,6.377,0.927,6.48,6.4285,2010.0,358229.0,930663.0,300.0,727000.0,1688506.0,0.0,258053.0,5112000.0
Slovakia,Central and Eastern Europe,6.331,0.766,6.391,6.361000000000001,2010.0,3370291.0,4101842.0,2445.0,521.0,0.0,0.0,0.0,5434143.0
Slovenia,Central and Eastern Europe,6.461,0.949,6.63,6.5455000000000005,2010.0,1314376.0,1375987.0,205.0,61611.0,0.0,0.0,0.0,2053714.0
Solomon Islands,,,,,,2010.0,101941.0,482878.0,0.0,1700.0,1750.0,0.0,0.0,536533.0
Somalia,,,,,,2010.0,100.0,4333.0,0.0,9283692.0,0.0,0.0,5225.0,9330345.0
South Africa,Sub-Saharan Africa,4.956,0.749,5.194,5.075,2010.0,3551568.0,40488807.0,81536.0,845000.0,159070.0,0.0,750331.0,50022088.0
South Korea,East Asia,5.845,0.672,5.935,5.89,2010.0,5224935.0,13973291.0,101.0,71071.0,11022677.0,0.0,0.0,48875000.0
Spain,Western Europe,6.491,0.761,6.476,6.483499999999999,2010.0,35000000.0,37121529.0,12000.0,1400000.0,10200.0,0.0,0.0,46076496.0
Sri Lanka,South Asia,4.325,0.841,4.362,4.343500000000001,2010.0,1242473.0,1495578.0,0.0,1975865.0,14467488.0,0.0,2565831.0,20590078.0
St. Kitts and Nevis,,,,,,2010.0,12675.0,45525.0,0.0,141.0,0.0,0.0,481.0,50700.0
St. Lucia,,,,,,2010.0,100204.0,151183.0,0.0,164.0,0.0,0.0,492.0,164000.0
St. Vincent and the Grenadines,,,,,,2010.0,63544.0,93496.0,0.0,104.0,0.0,0.0,312.0,104000.0
Sudan,,,,,,2010.0,2013776.0,2867533.0,0.0,28488914.0,0.0,0.0,0.0,40125232.0
Suriname,,,,,,2010.0,129048.0,271680.0,290.0,110936.0,0.0,0.0,155084.0,566000.0
Swaziland,,,,,,2010.0,305149.0,957312.0,0.0,8000.0,0.0,0.0,1855.0,1220594.0
Sweden,Western Europe,7.363,0.945,7.384,7.3735,2010.0,187580.0,7133814.0,19781.0,562741.0,0.0,0.0,0.0,9379022.0
Switzerland,Western Europe,7.571,0.919,7.512,7.541499999999999,2010.0,3710000.0,6303993.0,17500.0,322000.0,25431.0,0.0,24336.0,7825122.0
Syria,,,,,,2010.0,378443.0,1530971.0,0.0,18372466.0,0.0,0.0,0.0,20368588.0
Taiwan,,,,,,2010.0,310192.0,1231401.0,100.0,102000.0,5710455.0,0.0,0.0,22770000.0
Taiwan Province of China,East Asia,6.584,0.784,6.512,6.548,,,,,,,,,
Tajikistan,Commonwealth of Independent States,5.466,0.832,5.377,5.4215,2010.0,0.0,150000.0,2000.0,6692802.0,5600.0,0.0,0.0,7436448.0
Tanzania,Sub-Saharan Africa,3.623,0.833,3.702,3.6625,2010.0,9448823.0,20574501.0,0.0,15505201.0,9777.0,130.0,322500.0,43070004.0
Thailand,Southeast Asia,5.985,0.884,5.891,5.938000000000001,2010.0,172023.0,403998.0,200.0,6733346.0,58580120.0,0.0,56000.0,67333472.0
Togo,Sub-Saharan Africa,4.107,0.619,4.112,4.109500000000001,2010.0,1631708.0,2797212.0,0.0,815854.0,0.0,0.0,0.0,5827529.0
Tonga,,,,,,2010.0,13626.0,98745.0,0.0,0.0,126.0,0.0,105.0,104817.0
Trinidad and Tobago,,,,,,2010.0,285670.0,729270.0,0.0,65700.0,0.0,0.0,240100.0,1305000.0
Tunisia,Middle East and North Africa,4.596,0.656,4.516,4.556,2010.0,31646.0,37346.0,1500.0,10443506.0,0.0,0.0,0.0,10548997.0
Turkey,Middle East and North Africa,4.948,0.576,4.744,4.846,2010.0,35747.0,320277.0,15000.0,75699756.0,0.0,0.0,0.0,76787632.0
Turkmenistan,Commonwealth of Independent States,5.066,0.877,5.474,5.27,2010.0,0.0,505440.0,700.0,4998243.0,722.0,0.0,0.0,5616004.0
Tuvalu,,,,,,2010.0,100.0,9764.0,0.0,10.0,0.0,0.0,0.0,10067.0
Uganda,Sub-Saharan Africa,4.636,0.709,4.603,4.6195,2010.0,12450000.0,25921856.0,2000.0,3734278.0,2005.0,0.0,182000.0,31118996.0
Ukraine,Commonwealth of Independent States,4.875,0.724,5.084,4.9795,2010.0,184021.0,39196664.0,67000.0,456000.0,46005.0,0.0,0.0,46005476.0
United Arab Emirates,Middle East and North Africa,6.561,0.932,6.576,6.5685,2010.0,185228.0,445461.0,0.0,4208337.0,22000.0,0.0,1387654.0,6236650.0
United Kingdom,Western Europe,7.064,0.859,6.943,7.0035,2010.0,4409825.0,38957273.0,263000.0,2700000.0,248827.0,4105.0,817000.0,62206876.0
United States,North America and ANZ,6.951,0.837,6.977,6.964,,,,,,,,,
United States of America,,,,,,2010.0,78397889.0,233111307.0,5942248.0,2814750.0,3410236.0,1644887.0,1797698.0,312750000.0
Uruguay,Latin America and Caribbean,6.431,0.896,6.474,6.452500000000001,2010.0,1580995.0,2746709.0,10070.0,1015.0,32.0,0.0,0.0,3356679.0
Uzbekistan,Commonwealth of Independent States,6.179,0.97,6.063,6.121,2010.0,0.0,1408027.0,4200.0,26189329.0,0.0,0.0,0.0,28160570.0
Vanuatu,,,,,,2010.0,28968.0,205190.0,0.0,0.0,476.0,0.0,0.0,241400.0
Venezuela,Latin America and Caribbean,4.892,0.615,4.925,4.9085,2010.0,23067200.0,27392300.0,16515.0,29864.0,12177.0,0.0,0.0,28834000.0
Vietnam,Southeast Asia,5.411,0.94,5.485,5.448,2010.0,7033441.0,8004439.0,0.0,93736.0,43079830.0,0.0,50000.0,87918024.0
Yemen,Middle East and North Africa,3.658,0.602,4.197,3.9275,2010.0,0.0,0.0,0.0,23369328.0,0.0,0.0,0.0,23605382.0
